idx	name	unmapped	call_count	categories	first_line	first_context
156	ANTLER_ANGLE2		1	var-assign	2274	fVar33 = (float)FUN_1400a5d20(local_508,0x9c);
157	ANTLER_ANGLE_RAND		1	var-assign	2278	fVar33 = (float)FUN_1400a5d20(local_508,0x9d);
158	ANTLER_T1		1	var-assign	2282	fVar33 = (float)FUN_1400a5d20(local_508,0x9e);
159	ANTLER_T2		1	var-assign	2286	fVar33 = (float)FUN_1400a5d20(local_508,0x9f);
160	HAT_EXISTS	Y	1	var-assign	2306	iVar15 = FUN_1400a5e00(local_508,0xa0);
161	HAT_SIZE		2	other,var-assign	2316	fVar33 = (float)FUN_1400a5d20(local_508,0xa1);
162	HAT_RAKE		1	var-assign	2202	fVar33 = (float)FUN_1400a5d20(local_508,0xa2);
163	HAT_ASPECT		1	var-assign	2322	fVar43 = (float)FUN_1400a5d20(local_508,0xa3);
164	HAT_TAPER		1	var-assign	2326	fVar33 = (float)FUN_1400a5d20(local_508,0xa4);
165	HAT_POM		1	var-assign	2334	fVar33 = (float)FUN_1400a5d20(local_508,0xa5);
166	HAT_POM_IS_LID	Y	1	var-assign	2330	iVar15 = FUN_1400a5e00(local_508,0xa6);
167	HAT_CLONE		1	var-assign	2352	fVar33 = (float)FUN_1400a5d20(local_508,0xa7);
168	HAT_BACK_SCALE		1	var-assign	2368	fVar33 = (float)FUN_1400a5d20(local_508,0xa8);
169	HAT_FRONT_SCALE		1	var-assign	2374	fVar33 = (float)FUN_1400a5d20(local_508,0xa9);
170	HAT_BACK_ANGLE		1	var-assign	2380	fVar33 = (float)FUN_1400a5d20(local_508,0xaa);
171	HAT_FRONT_ANGLE		1	var-assign	2384	fVar33 = (float)FUN_1400a5d20(local_508,0xab);
172	HAT_ANGLE_RAND		1	var-assign	2388	fVar33 = (float)FUN_1400a5d20(local_508,0xac);
173	HAT_FLIP		1	var-assign	2364	iVar15 = FUN_1400a5e00(local_508,0xad);
174	HAT_T		1	var-assign	2392	fVar33 = (float)FUN_1400a5d20(local_508,0xae);
175	BASE_BROWN	Y	1	var-assign	2412	uVar18 = FUN_1400a5e00(local_508,0xaf);
176	BASE_BLACK	Y	2	var-assign	2734	iVar20 = FUN_1400a5e00(local_508,0xb0);
177	BASE_RED	Y	1	var-assign	2416	iVar16 = FUN_1400a5e00(local_508,0xb1);
178	BASE_GREEN	Y	1	var-assign	2422	iVar17 = FUN_1400a5e00(local_508,0xb2);
179	GREEN_KNOCKOUT	Y	1	var-assign	2418	iVar17 = FUN_1400a5e00(local_508,0xb3);
180	BASE_CREAM	Y	1	var-assign	2546	fVar36 = (float)FUN_1400a5d20(local_508,0xb4);
181	ALT_BLUE	Y	1	var-assign	2556	iVar15 = FUN_1400a5e00(local_508,0xb5);
182	SPOT_YELLOW	Y	1	var-assign	2578	iVar15 = FUN_1400a5e00(local_508,0xb6);
183	SKIN_HUE	Y	0			
184	SKIN_HUE2	Y	0			
185	SWAP_BASE_SPOT	Y	1	var-assign	2664	iVar20 = FUN_1400a5e00(local_508,0xb9);
186	SWAP_ALT_SPOT	Y	1	var-assign	2680	iVar20 = FUN_1400a5e00(local_508,0xba);
187	WHITE	Y	1	var-assign	2616	iVar15 = FUN_1400a5e00(local_508,0xbb);
188	WHITE_IS_LETHAL	Y	1	var-assign	2618	iVar16 = FUN_1400a5e00(local_508,0xbc);
189	EYE_HUE	Y	2	var-assign	2726	uVar18 = FUN_1400a5e00(local_508,0xbd);
190	NOSE_HUE	Y	1	var-assign	3018	iVar15 = FUN_1400a5e00(local_508,0xbe);
191	HOOF_COLOR		1	var-assign	2702	uVar18 = FUN_1400a5e00(local_508,0xbf);
192	AGOUTI	Y	1	var-assign	2738	iVar20 = FUN_1400a5e00(local_508,0xc0);
193	BELLY_ALT		3	var-assign	2786	iVar20 = FUN_1400a5e00(local_508,0xc1);
194	SKIN_HEAD	Y	2	var-assign	2846	iVar20 = FUN_1400a5e00(local_508,0xc2);
195	SKIN_HANDS	Y	2	var-assign	2866	iVar20 = FUN_1400a5e00(local_508,0xc3);
196	FOOT_IS_HOOF	Y	2	conditional,var-assign	1028	if (((iVar16 == 3) && (iVar16 = FUN_1400a5e00(local_508,0xc4), iVar16 == 0)) &&
197	RACCOON_EYE		2	var-assign	1186	fVar35 = (float)FUN_1400a5e00(local_508,0xc5);
